time,symbol,volume,open,high,low,last,change,percent,turnover_rate
2017-08-04,600519.SH,1868114,458.1024,460.004,453.8767,454.8755,-3.4373,-0.75,0.15
2017-08-07,600519.SH,2309937,453.7807,463.2885,452.465,462.4817,7.5966,1.67,0.18
2017-08-08,600519.SH,1605158,462.9043,465.0364,460.5034,463.4613,0.9712,0.21,0.13
2017-08-09,600519.SH,4179447,465.6318,473.4493,462.9331,471.4037,7.9255,1.71,0.33
2017-08-10,600519.SH,3536438,471.6342,479.807,469.627,472.1528,0.7542,0.16,0.28
2017-08-11,600519.SH,3657257,469.627,476.8779,464.3257,464.8827,-7.2712,-1.54,0.29
2017-08-14,600519.SH,3933147,465.9871,480.2872,465.9871,480.0279,15.1549,3.26,0.31
2017-08-15,600519.SH,2716322,480.2968,481.2476,475.3989,476.3209,-3.6961,-0.77,0.22
2017-08-16,600519.SH,1858722,478.2704,479.0387,473.4685,476.8202,0.4763,0.1,0.15
2017-08-17,600519.SH,2584673,477.8863,477.8863,470.3953,473.1708,-3.6717,-0.77,0.21
2017-08-18,600519.SH,2385775,473.2764,474.8515,468.6666,470.2512,-2.9337,-0.62,0.19
2017-08-21,600519.SH,2354662,468.6666,474.8131,467.6486,470.3281,0.094,0.02,0.19
2017-08-22,600519.SH,4245703,468.0904,470.088,457.142,467.9175,-2.3986,-0.51,0.34
2017-08-23,600519.SH,2721499,466.2176,475.0339,465.1324,474.4385,6.5043,1.39,0.22
2017-08-24,600519.SH,1815678,474.4193,476.7338,472.5273,473.286,-1.1386,-0.24,0.14
2017-08-25,600519.SH,1729788,473.9007,474.669,469.9343,473.4589,0.1893,0.04,0.14
2017-08-28,600519.SH,2902107,473.4685,477.5886,471.5766,472.5465,-0.8995,-0.19,0.23
2017-08-29,600519.SH,2517662,473.4877,475.274,468.6762,470.0496,-2.5045,-0.53,0.2
2017-08-30,600519.SH,1850364,470.2993,474.1888,469.7806,473.4397,3.3844,0.72,0.15
2017-08-31,600519.SH,1873686,474.4673,475.274,470.3953,471.6918,-1.7517,-0.37,0.15
2017-09-01,600519.SH,3145100,470.7794,476.6186,470.6162,475.5621,3.8679,0.82,0.25
2017-09-04,600519.SH,1893162,475.5621,476.9835,471.8071,472.9115,-2.6632,-0.56,0.15
