"地区编码",单位名称,邮政编码,详细地址,评估定级情况,总藏量,电子图书,书架单层总长度,本年新增藏量,本年新增电子图书,当年购买的报刊种类,有效借书证数,总流通人次,书刊文献外借册次,计算机,图书馆网站访问量,实际使用公用房屋建筑面积,实际拥有产权面积,阅览室坐席数,联系电话,组织机构代码,年份
330726,浦江县图书馆,322200,浙江省浦江县浦阳镇书画街62＃,一级馆,0.0,429120.0,115520.0,5600.0,85053.0,196.0,394.0,16674.0,321332.0,190300.0,66.0,0.0,7157.0,2500.0,324,84112451,2018
330327,苍南县图书馆,325800,苍南县灵溪镇湖滨路58号,一级馆,0.0,1272242.0,34120.0,4540.0,73614.0,24123.0,684.0,57274.0,880923.0,659306.0,70.0,90843.0,9185.0,8385.0,770,68871060,2018
330206,宁波市北仑区图书馆,315800,宁波市北仑区新碶街道星中路4号,一级馆,620476.0,2100000.0,56355.0,51912.0,0.0,1243.0,10495.0,791204.0,1593916.0,118.0,184687.0,16610.0,16610.0,800.0,86781983,419560306,2016
330199,杭州少年儿童图书馆,310000,杭州市曙光路75号,一级馆,1108131.0,11265.0,5352.0,44982.0,0.0,441.0,306011.0,612048.0,1399492.0,92.0,1255270.0,6003.0,5695.0,895.0,86535018,470115283,2016
331122,缙云县图书馆,321400,缙云县五云街道溪滨南路45号,二级馆,339488.0,76165.0,8470.0,120462.0,6482.0,600.0,3499.0,147300.0,98590.0,80.0,7221.0,3700.0,3700.0,200.0,3122622,472461091,2016
330204,宁波市江东区图书馆,315040,宁波市江东区体育场,一级馆,299329.0,3000000.0,1405.0,38943.0,0.0,619.0,35921.0,1368832.0,1198926.0,70.0,259106.0,7707.0,0.0,650.0,87708512,775641700,2016
330103,杭州市下城区图书馆,310014,下城区潮王路8号,一级馆,0.0,377152.0,202500.0,450.0,17152.0,0.0,246.0,42521.0,1100000.0,573726.0,57.0,108379.0,4500.0,0.0,650,85332517,2018
330483,桐乡市图书馆,314500,市政广场西侧,一级馆,1333374.0,155000.0,4368.0,85487.0,3000.0,700.0,100529.0,2253103.0,1024138.0,80.0,131335.0,13595.0,0.0,1394.0,88113636,471060368,2017
330702,婺城区图书馆,321000,金华市临江东路8号,无等级馆,35330.0,1020000.0,320.0,5280.0,20000.0,300.0,125.0,60000.0,30000.0,40.0,0.0,3078.0,0.0,240.0,89802012,056894066,2016
330522,长兴县图书馆,313100,浙江省长兴县植物园路2号,一级馆,490514.0,46558.0,7350.0,24896.0,0.0,902.0,40312.0,1185496.0,934093.0,60.0,1460405.0,11000.0,0.0,800.0,6227911,471260298,2016
331124,松阳县图书馆,323400,松阳县西屏镇白露岭路A2号,二级馆,0.0,231126.0,1300000.0,360.0,7820.0,0.0,359.0,5128.0,202064.0,153195.0,40.0,10000.0,3119.0,3119.0,176,8062339,2018
331101,丽水市图书馆,323000,丽水市文昌路144号,无等级馆,388194.0,1000000.0,1171.0,19239.0,0.0,495.0,6351.0,190000.0,244700.0,60.0,584200.0,1693.0,1553.0,45.0,2272080,472311069,2017
330382,乐清市图书馆,325600,乐清市乐成镇南大街109号,一级馆,503331.0,400000.0,8000.0,55228.0,0.0,540.0,29810.0,2279650.0,346474.0,100.0,10000.0,31645.0,0.0,4000.0,62526562,470681306,2016
331003,黄岩区图书馆,318020,黄岩区直下街20号,二级馆,1318487.0,941.0,6450.0,250348.0,0.0,409.0,11671.0,1718712.0,1169142.0,37.0,15034.0,19520.0,798.0,155.0,84113618,754901139,2017
330328,文成县图书馆,325300,文成县大峃伯温路118号,二级馆,419973.0,200000.0,1820.0,53403.0,0.0,380.0,13471.0,339831.0,228498.0,147.0,5236.0,9978.0,9978.0,560.0,67864376,470800619,2016
